Li6_enrichment,Moderator_ratio,Neutron_multiplier,Tbr_OpenMC,Stddev
0.3,0.9,0.9,0.8388624179552371,0.003290883152109
0.5,0.0,0.0,0.9532625419386832,0.003482261700523
0.5,0.0,0.1,0.9501312892779472,0.003215937791239
0.5,0.0,0.3,0.9466200702839492,0.004487513046051
0.5,0.0,0.5,0.94954931871786,0.00420118151836
0.5,0.0,0.7,0.9499522130467112,0.003657514742522
0.5,0.0,0.9,0.9491284424965832,0.003197746948402
0.5,0.1,0.0,0.894743134006432,0.003382203189304
0.5,0.1,0.1,0.8965951178174131,0.003086498424004
0.5,0.1,0.3,0.9067021453642492,0.003012626957947
0.5,0.1,0.5,0.92270352253601,0.00312924010977
0.5,0.1,0.7,0.93036217540807,0.003130205399499
0.5,0.1,0.9,0.9322245243611792,0.003849957184034
0.5,0.3,0.0,0.901652992822626,0.003594040092314
0.5,0.3,0.1,0.9144902755730112,0.004215290309823
0.5,0.3,0.3,0.9367602570087412,0.002481497993339
0.5,0.3,0.5,0.9622361373454512,0.004205167077532
0.5,0.3,0.7,0.9760586191262952,0.004054632984419
0.5,0.3,0.9,0.988242967025172,0.004578520253702
0.5,0.5,0.0,0.8753143144002221,0.003999045249668
0.5,0.5,0.1,0.885775733358058,0.003782750740107
0.5,0.5,0.3,0.922072074750706,0.00328224790105
0.5,0.5,0.5,0.9510331012463472,0.002798552339495
0.5,0.5,0.7,0.9748433209676612,0.003095031279324
0.5,0.5,0.9,0.989603985607396,0.003123055728484
0.5,0.7,0.0,0.848680092154475,0.00364482769783
0.5,0.7,0.1,0.863196837469254,0.004185470584108
0.5,0.7,0.3,0.8950650954986761,0.003871161154777
0.5,0.7,0.5,0.9321136528634172,0.003498306155906
0.5,0.7,0.7,0.9623931089616052,0.003738373563591
0.5,0.7,0.9,0.9743703262702612,0.004078654314023
0.5,0.9,0.0,0.791084009251879,0.003500722469906
0.5,0.9,0.1,0.7958060222180331,0.004272952584838
0.5,0.9,0.3,0.827613000774792,0.003190919319309
0.5,0.9,0.5,0.8584211427457341,0.003078306202903
0.5,0.9,0.7,0.8938324188955,0.003098175299597
0.5,0.9,0.9,0.898566953614865,0.002884425768671
0.7,0.0,0.0,0.952990361264027,0.003801735259973
0.7,0.0,0.1,0.947486888290654,0.003256057199277
0.7,0.0,0.3,0.950493629715731,0.00320606396711
0.7,0.0,0.5,0.952849093905602,0.004003587215697
0.7,0.0,0.7,0.9501875193973032,0.003812112923042
0.7,0.0,0.9,0.946343359457456,0.003097390396372
0.7,0.1,0.0,0.8898263081224441,0.003254114051492
0.7,0.1,0.1,0.900804592553504,0.003091429219673
0.7,0.1,0.3,0.909914673016725,0.003148717376299
0.7,0.1,0.5,0.922773151960775,0.002667838590452
0.7,0.1,0.7,0.936935560942664,0.002432737178058
0.7,0.1,0.9,0.944612066126276,0.002683279299141
0.7,0.3,0.0,0.901775126343758,0.003576442482279
0.7,0.3,0.1,0.920411949727454,0.004756499392434
0.7,0.3,0.3,0.944793312900256,0.003499700617962
0.7,0.3,0.5,0.9697933258083432,0.003336093281171
0.7,0.3,0.7,0.9844905737949212,0.004736357498346
0.7,0.3,0.9,0.9959242872295292,0.003419157318499
0.7,0.5,0.0,0.8848276205698871,0.003468458783901
0.7,0.5,0.1,0.905918574610105,0.002946043209429
0.7,0.5,0.3,0.931572025246525,0.003548357470147
0.7,0.5,0.5,0.962065686991253,0.003863627451566
0.7,0.5,0.7,0.993001379721254,0.005238581976678
0.7,0.5,0.9,1.00555196257452,0.004294296940245
0.7,0.7,0.0,0.8633176430989271,0.004219403762733
0.7,0.7,0.1,0.8770682146409721,0.003680087553615
0.7,0.7,0.3,0.904822329592392,0.003455758824184
0.7,0.7,0.5,0.950008397600072,0.003373314491485
0.7,0.7,0.7,0.9876434535320052,0.003765427205833
0.7,0.7,0.9,0.9945660542133532,0.003919121864596
0.7,0.9,0.0,0.8120727940113031,0.003704300504953
0.7,0.9,0.1,0.822766837370255,0.003811487151981
0.7,0.9,0.3,0.8483134184010631,0.003344690411056
0.7,0.9,0.5,0.8819479509616851,0.002961231946875
0.7,0.9,0.7,0.9172576159640472,0.0037023685454
0.7,0.9,0.9,0.937164275376326,0.002760802113855
0.9,0.0,0.0,0.943055079406316,0.00409239480464
0.9,0.0,0.1,0.945546756225544,0.00388517726925
0.9,0.0,0.3,0.9487125215061192,0.00463790809227
0.9,0.0,0.5,0.947242651374782,0.005055794302364
0.9,0.0,0.7,0.946468981685139,0.003566798763428
0.9,0.0,0.9,0.9471706553929732,0.004372495946004
0.9,0.1,0.0,0.893909506786371,0.004337991106618
0.9,0.1,0.1,0.89825008410365,0.003342341766401
0.9,0.1,0.3,0.9091159855598432,0.003063352168707
0.9,0.1,0.5,0.920132252729263,0.003435342376375
0.9,0.1,0.7,0.934157101280544,0.003656078402253
0.9,0.1,0.9,0.944036904352423,0.003833434802094
0.9,0.3,0.0,0.9016938286171172,0.003750034259287
0.9,0.3,0.1,0.9166907738059952,0.00410161165428
0.9,0.3,0.3,0.9427600361444792,0.003438142104954
0.9,0.3,0.5,0.9666851798331352,0.003464676535942
0.9,0.3,0.7,0.9912479975092072,0.003628589022274
0.9,0.3,0.9,1.008992729468889,0.003505020648002
0.9,0.5,0.0,0.8826629668249131,0.003252813655385
0.9,0.5,0.1,0.90183450163304,0.002835969350455
0.9,0.5,0.3,0.935164828936084,0.00388618057471
0.9,0.5,0.5,0.9740052534184772,0.003352583709564
0.9,0.5,0.7,0.995918001159926,0.003551905665844
0.9,0.5,0.9,1.014224817794779,0.003412664399589
0.9,0.7,0.0,0.8637575541872899,0.00441453992867
0.9,0.7,0.1,0.8791155754381851,0.004073973331281
0.9,0.7,0.3,0.916043127662924,0.003167305015532
0.9,0.7,0.5,0.9553675529649672,0.003023802921912
0.9,0.7,0.7,0.991240138198715,0.004500139242516
0.9,0.7,0.9,1.012841789573871,0.004387364607559
0.9,0.9,0.0,0.8207992579520911,0.003428306608233
0.9,0.9,0.1,0.8319572237564671,0.003844479403624
0.9,0.9,0.3,0.860989407329219,0.003254621799825
0.9,0.9,0.5,0.897945758590948,0.003625249844626
0.9,0.9,0.7,0.936581491682251,0.005278123294393
0.9,0.9,0.9,0.963603890447541,0.002831882864131
